Hash,Message,Hashes of parents,Is a merge commit?,List of modified files
75b499dd046060021db0c7a772dd34df9374a30b,sample test fixtures (none),0477018761c67152cdcc0b83d56f27e701e65b9e,False,test_requests.py
32cc197a81502c30715c9e164006dce6debcd1bf,fixes,ef9bae8d9f2dc605d4fbcdf24256b6cc82612a2d,False,requests/core.py
3c32045da05cda554e65d3b943bb1128b2482c7f,FIXED,71df02df2c9ab37a8ee40b31f5e28742d1a6cee8,False,requests/core.py
7de5726a812c5ae2cb8204e2974b62ca2750c9d0,log 405 issue,6fb1997b6a37f27aeda5e26aebcb886a4d2b817a,False,TODO.rst
f566bb21400cecf4dfe5a6c7d9bc7fb62abbb57d,Much better exception handling,f1d9aae10e82e7d122b2172616c7a675971cd0e6,False,requests/core.py
4a3f55997bc73d9ff8312cfae68a028728b49f66,a few test fixtures for now,fdd54e14d68123899e61dd651176264b1276f416,False,test_requests.py
8cca789ba5df5d31f3c923001ee6dc9fcf7f1b1b,Fix it,88b64d271f2f58caadabfa9e5e45ff85c77d3944,False,README.rst
8fd480df3fc0665c90ed9e9c18d0ca4eeab349bd,Fix NameError in example,d6e7e19100f9f2ccbb95cb98ec2c261a293802f2,False,README.rst
4c8b428bbd3800cafa0e3764512eb719f67315f0,except clause fix for python3,a16278e85dc1dda84e55f2f63e4d56cb60329601,False,requests/core.py
02834e353d7a9d9a6dff5a2c2ee5ba477f83d46c,"added simple test fixture for Postbin and posting 
both files and data",324c572b6496f2f39cf0f266012df1f9f4930568,False,test_requests.py
10280c697dcfd3d334f1c9c381a11c324bb550bc,"Handles request in event of HTTPError. Fixes Issue #2
Building of internal request object refactor",a82f4de38ddd31fa8a5773e60fc2f4324ca79d45,False,requests/core.py
bfe91296cbf990ce579639777412f5395e951247,monkey patchin' (will this suffice?),d87bcce6ad9d28bf6fe642543238af61d1ddf132,False,requests/core.py
16e5119b2ad8be05673b5f8762cd71edaa0cd882,fixed gevent problem,b09218d5aceff0062e59bb2d93150e0b48b1dcc2,False,requests/core.py
397bd4b67688fe8b35b5c17a6f1d6f43ab076c18,spelling error,f023c81dad05fd8c5e9c1979b26c3c9ecfc4cf3b,False,requests/core.py
